真愛找麻煩,剩女保鏢,愛上巧克力,我們發財了,美味的想念,兩個爸爸,幸福選擇題
1.07,1.74,1.79,1.88,0.94,1.27,1.33
1.22,1.84,1.37,1.38,1.06,1.14,1.23
1.23,2.04,1.38,1.13,1.03,1.41,1.31
1.18,1.51,1.37,1.29,1.05,1.44,1.06
1.35,1.94,1.7,1.39,1.29,1.46,1.16
1.37,1.82,1.49,1.51,1.19,1.56,
1.39,1.53,1.6,1.35,1.1,1.74,
1.59,2.11,1.64,1.31,1.15,1.68,
1.41,1.73,1.47,1.38,1.28,1.67,
1.42,1.89,1.93,1.18,1.47,1.56,
1.47,1.65,1.52,1.63,1.36,1.73,
1.59,1.63,1.63,1.2,1.39,1.87,
1.46,2.11,1.92,1.2,1.33,1.52,
1.44,2.01,1.63,1.35,1.53,2,
1.78,2.2,1.51,1.15,,1.92,
1.72,1.82,1.77,1.44,1.67,1.86,
1.94,2.09,1.74,1.32,1.82,1.8,
1.82,2.18,1.54,1.14,1.86,1.78,
1.65,1.85,1.74,1.37,1.77,,
1.84,2.13,1.53,1.26,1.75,,
1.57,2.23,1.67,1.41,1.35,,
1.98,1.99,1.93,1.17,1.52,,
2.18,1.85,1.87,1.24,1.65,2.07,
1.9,1.93,1.59,1.39,,2.08,
2.27,1.93,1.65,1.07,1.47,2.21,
2.28,1.94,1.83,1.18,1.39,2.24,
2.04,2,1.92,1.27,1.36,2.15,
2.48,2.01,1.91,0.91,1.47,,
2.08,1.81,1.68,1.28,1.57,2.12,
1.55,2,1.76,1.5,1.72,,
2.14,1.92,2.02,1.26,1.48,,
2.12,2.01,1.77,1.57,1.48,,
1.82,2.19,1.57,1.2,1.31,,
2.9,2.12,1.77,1.57,1.42,,
2.83,1.76,1.92,1.59,1.3,,
2.77,2.17,1.96,1.65,1.28,2.15,
2.96,2.11,2,1.67,1.51,2.41,
3.32,2.02,2.15,1.89,1.56,2.38,
2.7,1.6,1.64,1.68,1.46,2.46,
3.18,1.86,1.69,1.78,1.63,2.43,
3.23,2.05,1.9,1.92,,2.27,
2.76,1.8,1.7,1.69,,2.41,
2.94,1.85,1.88,1.45,,2.6,
2.97,1.54,1.71,1.63,,2.77,
3.06,1.95,2.2,1.7,,2.54,
2.79,1.87,,1.53,,3.04,
2.53,1.93,2.06,1.57,,2.92,
2.35,1.7,2.22,1.46,,2.68,
2.55,1.62,2.15,1.59,,2.3,
2.81,1.73,1.98,1.58,,2.79,
2.81,1.81,2.05,1.71,,2.7,
2.92,2.07,2.33,1.59,,2.14,
2.9,2.05,2.05,1.37,,2.67,
3.12,1.98,1.49,1.47,,2.51,
3.62,2.14,1.41,1.53,,,
2.95,2.17,1.86,1.54,,2.67,
2.85,2.13,2.01,1.59,,2.67,
3.06,2.07,1.87,1.86,,2.8,
3.27,1.96,2.12,1.36,,3.03,
3.41,2.11,1.87,1.64,,,
3.01,2.03,1.72,1.72,,3.12,
3.13,2.04,1.7,1.42,,2.68,
3.03,2.08,1.87,1.25,,2.87,
3.32,1.53,1.4,1.53,,2.65,
3.14,1.87,1.69,1.36,,2.7,
3.27,1.91,1.89,1.23,,2.69,
3.3,2.12,1.91,1.22,,3.11,
2.97,2.09,1.66,1.25,,2.5,
3.16,2.08,1.5,1.61,,2.67,
2.91,2.07,1.89,1.44,,2.74,
3.17,2.08,1.82,1.39,,3.27,
2.83,2.17,1.88,1.37,,2.87,
3.3,2,1.75,1.48,,3.74,
3.09,2.06,1.71,1.77,,,
3.18,1.85,2.19,1.64,,,
2.79,2.03,2.2,1.71,,,
3.07,1.76,2.25,1.65,,,
3.09,1.91,2.33,1.64,,,
3.23,1.75,2.02,1.63,,,
3.15,1.5,2.85,1.7,,,
3.88,1.75,,1.84,,,
3.65,2.68,,1.84,,,
3.62,,,1.52,,,
4.16,,,1.7,,,
,,,1.75,,,
,,,1.75,,,
,,,1.8,,,
,,,1.13,,,
,,,1.92,,,
